"","book","reviewer","rating","review"
"1","Wuthering Heights"," 04, 2013 Chelsea","did not like it"," I ve tried it three times. I know people are obsessed with it. I hate everyone in the book and I just can t care about a book where I actually hate the characters.And, sure, I get the interpretation that as terrible as Heathcliff and Cathy are, it s their love that redeems them, and isn t that romantic.No."
"2","Wuthering Heights"," 27, 2016 K.","it was amazing"," I understand why many people hate this book. Catherine and Heathcliff are monstrous. Monstrous. You won t like them because they are unlikable. They are irrational, self absorbed, malicious and pretty much any negative quality you can think a person is capable of possessing without imploding. They seek and destroy and act with no thought to consequence. And I find it fascinating that Emily Bronte chose them to be her central protagonists.When this was first published it was met with animosity because of how utterly repugnant these two characters were. The way they go about their business caring nothing for others but themselves was enough for me to shake my head in complete and total judgment, as if Catherine and Heathcliff could see me and are then effectively shamed by their actions. Wuthering Heights is epic, in my humble opinion, because I believe that the scope of this story is monumental. Let me explain it is a simple tale between two families that are bound in such a way that their fates are irrevocably linked. What affects one, affects the other. Its about Catherine and Heathcliff who fall in love and how their relationship ruins the lives of those around them. The book, all 400 pages of it, occur almost entirely at Wuthering Heights, the estate of the Earnshaws, and at Thrushcross Grange, the estate of the Lintons with only a couple of miles of land in between.And yet it is not a small story.The emotional magnitude of this book is great and far reaching. The provoking and unapologetic quality of Bronte s writing is seductive. The process of reading this story can feel so masochistic sometimes that its almost if she s daring us to stop reading and throw the book away. Like its a game of personal endurance to see how much we can take, how far we can go. She pushes at us, challenging us and all the while knowing that we have to keep reading because redemption awaits. It is nothing like its contemporaries. The moors, the darkness of the moors, that curses the household of Wuthering Heights and its inhabitants is ever present. Nature is personified. It is its own character its there, lingering and simmering ever so quietly, saturating every scene with its silent threats of doom...okay, I have to stop talking like this...what am I anymore There is poison in this book, but let me ease your mind by saying that it is balanced with goodness also. This isn t a perfect novel. There were still moments I found myself in perplexion recently invented word . And while everything about Catherine and Heathcliff may be corrupt, there is hope in Wuthering Heights. If you can journey through the menacing forest of Emily Bronte s imagination, do it because the view is something to behold.Ha ha ha, this review...what even is this "
"3","Wuthering Heights"," 30, 2007 Larissa","really liked it"," Certain novels come to you with pre packaged expectations. They just seem to be part of literature s collective unconscious, even if they are completely outside of your own cultural referents. I, for instance, who have no particular knowledge of or great love for romantic, Anglo Gothic fiction, came to Wuthering Heights with the assumption that I was picking up a melancholy ghost story of thwarted, passionate love and eternal obsession. Obsession turned out to be only accurate part of this presumption. Having an image of Heathcliff and Cathy embracing Gone with the Wind style on a windy moor ironed in my mind, I was almost completely unprepared for the hermetic, moribund, bleak, vengeful, perverse, and yes obsessive novel that this really is. Don Quixote is not about windmills and Wuthering Heights is not really a love story. Heathcliff and Cathy s love affair if it can be called that is a narcissistic I am Heathcliff Cathy exclaims at one point , possessive, and imminently cruel relationship predicated on self denial and an obsessiveness that relies not on passion, but rather borders on hatred. They are selfish, violent, and contriving people who have borne their fair share of abuses mostly Heathcliff in this respect and in turn, feel no compunction about raining similar abuses on those who they find beneath them.Given this dynamic, it seems perhaps inevitable that these two characters would make not only themselves miserable, but everyone around them miserable even after death. This is particularly easy to accomplish mainly because there are with the exception of Mr. Lockwood, the tenant who rents a home from Heathcliff no outside characters. Everyone in the novel including the servants is isolated, trapped between the same two homes, with the same two families, and have truly no chance of escaping any of the events and repercussions that occur. One character makes a temporary escape, only to suffer all the more for it later. More important, however, is the fact that Heathcliff and Cathy don t even need be present although they usually are in some fashion for their influences to be felt by the other characters. The sins of the father, are literally, inherited and distributed among the next generation. The children of Wuthering Heights are not only physical doubles of their parents At least 3 characters look like Cathy, and one resembles Heathcliff , but they are also spiritual stand ins. They must suffer for past transgressions, and they must find a way to make amends for them. All, I might add, without the particular benefit of ever having the full story, the context that might be necessary to actually change their circumstances. Misery, it seems, is inevitable. There is, of course, much more to be said about this novel. One could spend quite some time dissecting all the various repetitions and doublings, the narrative structure the story is told by the housekeeper to the lodger who then writes it down as a diary entry , or the archetypal analogies and semi biblical symbolism that seems to be implicit to every part of this story. The point being, I suppose, that while Wuthering Heights may not be the wistful romance one or maybe just I expected to be, it is a particularly satisfying one for all of its dark and layered surprises. "
"4","Wuthering Heights"," 13, 2016 karen","it was amazing"," all i care about in this goddamn life are me, my drums, and you ...if you don t know that quote, you re probably too young to be reading this and isn t it past your bedtime or shouldn t you be in school or something but that quote, hyper earnest cheese that is romance. wuthering heights is something more dangerous than romance. it s one long protracted retaliation masquerading as passion. and goddamn do i love it. i can t believe i haven t reviewed it before i mention this book in more than half of my reviews, i have a whole shelf devoted to its retellings, so why the delay but better late than never. no, it s not a perfect novel it s a flawed structure revealing the actions of seriously flawed people. the framing device within a framing device totally awkward. having nelly dean tell the story even though where was she for most of the action totally wrong move, bronte it makes the beginning such a slog to get through. but that s just stale loaf the good stuff is all the meat in between. and oh, the meat... the swarthy stranger of mysterious origins being raised in a family of sheltered overmoist english mushrooms, all pale and rain bloated, the running wild, two souls against the world adolescence...childhood indiscretions... vows and tantrums, bonding, unspoken promises, yes i will yes i will yes i will. oh, but wait, what s this ...it s blond and it s rich and it s whats expected of me. very well then. see ya, heathcliff...it s just textbook gothic from here on out revenge seduction, overheard conversations, mysterious disappearances, murdered puppies, swooning, vindictive child rearing, death, ghosts, moors, phoar... but this to me, is a perfect love story, even though it s more like torture. the unattainable is always more romantic than the storybook. i don t like an uncomplicated ending, and a story is more impactful with nuanced characters, preferably heavily unlikeable throughout. this is where i plug head on one of my favorite movies ever. do it. this story just makes me feel good. and i m well over my teenage fascination with the bad boy i realized pretty quick that bad boys are usually pretty dumb. so i moved on to emotionally disturbed , which is the same thing, really plenty of drama, and they will leave you drunken presents on your lawn road signs, carousel ponies.. , but not complete burnouts, at least. but my teenaged dating pool is neither here nor there, the point is that heathcliff can be romanticized as this victim villain without having to correspond to the ideal. it s about the level of passion, the size of the grand romantic gesture. devoting your life to destroying the people who kept you from your true love is an amazingly grand gesture. "
"5","Wuthering Heights"," 02, 2008 Ellen","did not like it"," I never expected this book to be as flagrantly, unforgivably bad as it was.To start, Bronte s technical choice of narrating the story of the primary characters by having the housekeeper explain everything to a tenant 20 years after it happened completely kills suspense and intimacy. The most I can say is that to some extent this functions as a device to help shroud the story and motives from the reader. But really, at the time literary technique hadn t quite always gotten around to accepting that omnipotent 3rd person narrators are allowed, so you d have to have a multiperspective story told by an omnipotent 3rd person narrator who was actually a character in the story e.g. the housekeeper Ellen . The layers of perspective make it annoying and sometimes impossible to figure out who is telling what bit of story and moreover, because so much is related as two characters explaining things between themselves, the result is that we rarely see any action, and instead have the entire book explained in socratic, pedantic exposition.The sense of place is poorly rendered and almost entirely missing. Great, the moor is gray.But ultimately, the most damning thing is that the characters are a bunch of immature, insuffrable, narcissistic assholes with very little self respect. This isn t a story of great love and passion. It s the story of how child abuse perpetuates itself through the generations. The characters are either emotionally abused as children or, as in the case of Cathy I, they re spoiled and overindulged with no discipline and can t muster the restraint and self respect to ditch abusive relationships. I kept waiting for any of the characters to be remotely worth my time, but I found no respite from the brutish abuse of the horribly twisted Heathcliff or from the simpering idiocy of Cathy I and II. Ugh. Not only are there no transformations or growth, but the characters aren t even that likable to begin with. How this book got to be a classic is beyond me. "
"6","Wuthering Heights"," 17, 2015 Emily May","it was amazing"," This is my favourite book. I do not say that lightly, I ve read quite a lot from all different genres and time periods, but this is my favourite book. Of all time. Ever. The ladies over at The Readventurer kindly allowed me to get my feelings of utter adoration for Wuthering Heights off my chest in their Year of the Classics feature, but I now realise it s time I posted a little something in this blank review space. I mean, come on, it s my favourite book so it deserves better than empty nothingness.So, what do I love so much about Wuthering Heights Everything. Okay, maybe not, that wouldn t really be saying it strongly enough.What I love about this novel is the setting, the wilderness. This is not a story about niceties and upper class propriety, this is the tale of people who aren t so socially acceptable, who live away from the strict rules of civilization it s almost as if they re not quite from the world we know. The isolation of the setting out on the Yorkshire moors between the fictional dwellings of The Heights and Thrushcross Grange emphasises how far removed these characters are from social norms, how unconventional they are, and how lonely they are.This is a novel for readers who can appreciate unlikeable characters, readers who don t have to like someone to achieve a certain level of understanding them and their circumstances. People are not born evil... so what makes them that way What torments a man so much that he refuses to believe he has any worth What kind of person digs up the grave of their loved one so they can see them once again Heathcliff was not created to be liked or to earn your forgiveness, Emily Bront simply tells his story from the abusive and unloved childhood he endured, to his obsession with the only person alive who showed him any real kindness, to his adulthood as an angry, violent man who beats his wife and imprisons the younger Cathy in order to make her marry his son.It would be so easy to hate Heathcliff, and I don t feel that he is some dark, sexy hero like others often do. But I appreciate what Emily Bront attempts to teach us about the cycle of violence and aggression. Heathcliff eventually becomes little more than the man he hates, by being brought up with beatings and anger he in turn unleashes it on everyone else. And Cathy is no delicate flower either. What hope did Heathcliff have when the only person he ever loved was a selfish, vindictive, little wretch But I love Emily Bront for creating such imperfect, screwed up characters.This is a dark novel that deals with some very complicated individuals, but I think in the end we are offered the possibility of peace and happiness through Cathy younger and Hareton s relationship, and the suggestion that Cathy older and Heathcliff were reunited in the afterlife. I had an English teacher in high school that said Cathy and Heathcliff s personalities and their relationship were too much for this world and that peace was only possible for them in the next. I have no idea if this was something Ms Bronte intended, but the romantic in me likes to imagine that it s true. "
"7","Wuthering Heights"," 15, 2009 Eliszard","liked it"," Ah the classics. Everybody can read their own agenda in them. So, first a short plot guide for dinner conversations when one needs to fake acculturation, and then on to the critics view. A woman 1 is in love with her non blood brother 2 but marries her neighbor 3 whose sister 4 marries the non blood brother 2 their 1,3 daughter 5 marries their 2,4 son 6 meanwhile, their 1,2 elder brother marries and has a son 7 . Then everybody dies, 1 of bad temper, 4 of stupidity, 3 of a cold, 6 because he s irritating, 2 because he s mean and tried to rise above his station. 5 and 7 are the only ones left, so they marry. The women are all called Catherine, the men are mostly called Earnshaw, and through intermarriage everybody is a bit of a Heathcliff. The Marxist critic the oppressed and underprivileged 2 revolts to improve his lot in life, but fails to make allies and loses everything, as always. The Post colonialist critic once again the rich 1,3,4 meddle with the lives of the poor 2 under the pretense of improving them, in fact wrecking havoc.The Feminist critic if only the Catherines had read The Feminine Mystique The Freudian critic repeated intermarriage and border line incest make for such good stories The Shakespearean critic Much Ado About NothingThe Entertainment Weekly executive stories told by sources close to the protagonists always sell well, because most people live vicariously. And dinnertime has always been the perfect slot for gossip. "
"8","Wuthering Heights"," 25, 2014 Jake","it was amazing"," I first read this in AP English Literature senior year of high school. This book is dense and thick and confusing, and with a class full of haters, it was hard to wrap my head around it. I subsequently read it three or four more times for classes in college and every time I read it, I loved it more. I always found some new, fascinating piece of the story I had never picked up on.The last time I read it, I suddenly realized that there were many hints and clues that Heathcliff could, in fact, be black. A quick shot at research into Liverpool, where Mr. Earnshaw found the urchin, shows that it was the home to a thriving slave trade. This theory completely changes the story, in my opinion.Or the thought someone brought up in our seminar on the Brontes what if Nellie is in love with Heathcliff and subsequently altered how she told the story You do find Nellie to be coincidently involved in many key scenes throughout the text. What if she isn t the good guy most readers assume she is Wuthering Heights is one of the quintessential novels in history. There s nothing else you can really say about it, except that it s one of the best pieces of writing to ever be created. It s just that incredible.Finished for the 5th time 11 25 2014 "
"9","Wuthering Heights"," 07, 2008 Kellie","did not like it"," I read this book for my AP Literature class. I loved the teacher, loved the subject matter, and loved pretty much everything else we had read, so I had high hopes for this book. I must say, I made a genuine and sincere effort to like this book, I really did. I got half way through with no hope in sight, yet I perservered, hoping the second half would show promise in the next generation. No such luck. Although nothing tops the finale love scene between Heathcliff and Katherine, with Heathcliff foaming at the mouth and a verbal battle of no, YOU killed me no, you killed yourself a stupidity hiterto unknown since the no YOU RE prettier battles . Eventually, the final pages came into view and I was desperate there must be some redemption for this junk Some message, some ending sequence, SOMETHING that makes this worthwhile. The characters are so self absorbed and posses an unprecendeted lack of intelligence, yet are still portrayed as intelligent by the literary world, that it seemed like the only fitting ending would be the characters realizing their stupidity and engaging in a mass suicide. No such luck. Every last word was idiotic and as empty as the first. But you know what grinds my gears even more than the fact that I wasted a week on this worthless pseudo classic It kills me that people not only mistake this hoax for real literature, but reference it for ROMANTIC value Foaming at the mouth, marrying someone you don t love, wow.... now that s a level of romance lovers fantasize about achieving. "
"10","Wuthering Heights"," 21, 2007 Jackie the Librarian","did not like it"," If you think that spitefulness is romantic, and that people destroying their lives is dramatic, go ahead and read this book. But don t say I didn t warn you."
